sample-id	group	diet	indiviudal	total_area	lesion_area	percent_lesion	organ	experiment
11548.A15.86.20	Air	NCD	A86	1.836	0.023	1.252723312	aorta	1
11548.A15.87.20	Air	NCD	A87	3.195	0.019	0.594679186	aorta	1
11548.A16.89.20	Air	NCD	A89	3.241	0.014	0.431965443	aorta	1
11548.A16.90.20	Air	NCD	A90	2.388	0.009	0.376884422	aorta	1
11548.A16.91.20	Air	NCD	A91	1.599	0.011	0.687929956	aorta	1
11548.A17.93.20	Air	NCD	A93	2.291	0.068	2.968136185	aorta	1
11829.A34.135.21	Air	NCD	A135	1.871	0.022	1.175841796	aorta	2
11829.A34.136.21	Air	NCD	A136	1.598	0.013	0.813516896	aorta	2
11829.A35.139.21	Air	NCD	A139	1.654	0.01	0.604594921	aorta	2
11548.A21.109.20	Air	HFD	A109	2.225	0.255	11.46067416	aorta	1
11548.A21.110.20	Air	HFD	A110	2.396	0.236	9.849749583	aorta	1
11548.A21.111.20	Air	HFD	A111	1.606	0.124	7.721046077	aorta	1
11548.A22.113.20	Air	HFD	A113	2.319	0.154	6.640793445	aorta	1
11548.A22.114.20	Air	HFD	A114	3.458	0.405	11.71197224	aorta	1
11548.A22.115.20	Air	HFD	A115	3.025	0.238	7.867768595	aorta	1
11548.A23.117.20	Air	HFD	A117	1.556	0.076	4.884318766	aorta	1
11548.A23.118.20	Air	HFD	A118	1.934	0.204	10.54808687	aorta	1
11548.A23.119.20	Air	HFD	A119	1.568	0.16	10.20408163	aorta	1
11829.A44.177.21	Air	HFD	A177	1.605	0.068	4.236760125	aorta	2
11829.A45.179.21	Air	HFD	A179	2	0.129	6.45	aorta	2
11829.A45.180.21	Air	HFD	A180	1.823	0.097	5.320899616	aorta	2
11548.A18.97.20	IHC	HFD	A97	2.168	0.312	14.39114391	aorta	1
11548.A18.98.20	IHC	HFD	A98	2.248	0.234	10.40925267	aorta	1
11548.A18.99.20	IHC	HFD	A99	2.233	0.226	10.12091357	aorta	1
11548.A19.101.20	IHC	HFD	A101	2.393	0.443	18.51232762	aorta	1
11548.A19.102.20	IHC	HFD	A102	3.175	0.491	15.46456693	aorta	1
11548.A20.105.20	IHC	HFD	A105	3.024	0.437	14.4510582	aorta	1
11548.A20.106.20	IHC	HFD	A106	1.599	0.212	13.25828643	aorta	1
11548.A20.107.20	IHC	HFD	A107	2.3	0.317	13.7826087	aorta	1
11829.A36.143.21	IH	HFD	A143	1.585	0.115	7.255520505	aorta	2
11829.A36.144.21	IH	HFD	A144	2.195	0.192	8.74715262	aorta	2
11829.A36.145.21	IH	HFD	A145	2.132	0.22	10.31894934	aorta	2
11829.A37.147.21	IH	HFD	A147	1.657	0.096	5.793602897	aorta	2
11829.A37.148.21	IH	HFD	A148	1.662	0.102	6.137184116	aorta	2
11829.A37.149.21	IH	HFD	A149	1.625	0.113	6.953846154	aorta	2
11829.A38.151.21	IH	HFD	A151	1.548	0.107	6.912144703	aorta	2
11829.A38.152.21	IH	HFD	A152	2.383	0.187	7.847251364	aorta	2
11829.A38.153.21	IH	HFD	A153	1.588	0.11	6.926952141	aorta	2
11829.A39.155.21	IH	HFD	A155	2.067	0.139	6.724721819	aorta	2
11829.A39.156.21	IH	HFD	A156	1.809	0.171	9.452736318	aorta	2
11829.A40.159.21	IC	HFD	A159	2.268	0.214	9.435626102	aorta	2
11829.A40.160.21	IC	HFD	A160	1.64	0.247	15.06097561	aorta	2
11829.A40.161.21	IC	HFD	A161	1.724	0.184	10.67285383	aorta	2
11829.A41.163.21	IC	HFD	A163	2.259	0.172	7.61398849	aorta	2
11829.A41.164.21	IC	HFD	A164	1.839	0.226	12.28928766	aorta	2
11829.A41.165.21	IC	HFD	A165	2.669	0.327	12.25177969	aorta	2
11829.A42.167.21	IC	HFD	A167	2.633	0.365	13.86251424	aorta	2
11829.A42.168.21	IC	HFD	A168	1.716	0.178	10.37296037	aorta	2
11829.A42.169.21	IC	HFD	A169	1.543	0.127	8.230719378	aorta	2
11829.A43.171.21	IC	HFD	A171	1.731	0.178	10.28307337	aorta	2
11829.A43.172.21	IC	HFD	A172	1.771	0.216	12.19649915	aorta	2
11548.A15.86.20	Air	NCD	A86	0.573	0.013	2.268760908	a_arch	1
11548.A15.87.20	Air	NCD	A87	0.842	0.012	1.425178147	a_arch	1
11548.A16.89.20	Air	NCD	A89	0.794	0.008	1.007556675	a_arch	1
11548.A16.90.20	Air	NCD	A90	0.611	0.008	1.309328969	a_arch	1
11548.A16.91.20	Air	NCD	A91	0.462	0.005	1.082251082	a_arch	1
11548.A17.93.20	Air	NCD	A93	0.624	0.035	5.608974359	a_arch	1
11829.A34.135.21	Air	NCD	A135	0.536	0.024	4.47761194	a_arch	2
11829.A34.136.21	Air	NCD	A136	0.477	0.01	2.096436059	a_arch	2
11829.A35.139.21	Air	NCD	A139	0.467	0.005	1.070663812	a_arch	2
11548.A21.109.20	Air	HFD	A109	0.57	0.137	24.03508772	a_arch	1
11548.A21.110.20	Air	HFD	A110	0.644	0.089	13.81987578	a_arch	1
11548.A21.111.20	Air	HFD	A111	0.512	0.085	16.6015625	a_arch	1
11548.A22.113.20	Air	HFD	A113	0.57	0.099	17.36842105	a_arch	1
11548.A22.114.20	Air	HFD	A114	0.903	0.279	30.89700997	a_arch	1
11548.A22.115.20	Air	HFD	A115	0.736	0.155	21.05978261	a_arch	1
11548.A23.117.20	Air	HFD	A117	0.461	0.026	5.639913232	a_arch	1
11548.A23.118.20	Air	HFD	A118	0.574	0.12	20.90592334	a_arch	1
11548.A23.119.20	Air	HFD	A119	0.443	0.069	15.57562077	a_arch	1
11829.A44.177.21	Air	HFD	A177	0.518	0.048	9.266409266	a_arch	2
11829.A45.179.21	Air	HFD	A179	0.521	0.056	10.74856046	a_arch	2
11829.A45.180.21	Air	HFD	A180	0.508	0.065	12.79527559	a_arch	2
11548.A18.97.20	IHC	HFD	A97	0.625	0.188	30.08	a_arch	1
11548.A18.98.20	IHC	HFD	A98	0.604	0.145	24.00662252	a_arch	1
11548.A18.99.20	IHC	HFD	A99	0.621	0.156	25.12077295	a_arch	1
11548.A19.101.20	IHC	HFD	A101	0.63	0.238	37.77777778	a_arch	1
11548.A19.102.20	IHC	HFD	A102	0.838	0.227	27.08830549	a_arch	1
11548.A20.105.20	IHC	HFD	A105	0.74	0.26	35.13513514	a_arch	1
11548.A20.106.20	IHC	HFD	A106	0.449	0.112	24.94432071	a_arch	1
11548.A20.107.20	IHC	HFD	A107	0.662	0.159	24.01812689	a_arch	1
11829.A36.143.21	IH	HFD	A143	0.503	0.081	16.10337972	a_arch	2
11829.A36.144.21	IH	HFD	A144	0.638	0.147	23.04075235	a_arch	2
11829.A36.145.21	IH	HFD	A145	0.603	0.152	25.20729685	a_arch	2
