sample-id	Axis1_23_5	Axis2_06_3
A36_144_2	106.9099801	243.3197478
A36_145_2	16.17803466	18.44633786
A36_146_2	-20.43585648	-60.00486781
A36_145_1	533.7239976	81.572538
A36_146_11	-140.6391695	-65.23171158
A36_145_6	-124.5980963	-22.71044052
A36_144_6	-125.4477401	170.376325
A36_145_21	-137.6729222	39.69212432
A36_144_21	-134.3690767	98.93630669
A39_157_1	402.4452547	-141.8528902
A38_154_11	235.3555796	-92.58798802
A37_149_11	-76.78801007	-141.0376534
A36_143_6	-142.1718325	335.9186355
A37_149_16	-97.17329236	-124.1992334
A36_143_21	-110.1827679	374.2497071
A36_145_11	-145.7031455	-1.086422199
A36_143_1	572.1377761	379.6968799
A36_146_16	-126.6625615	34.27999762
A37_150_1	504.465652	-66.14887071
A37_148_11	-114.8603285	-116.0511373
A38_154_2	-27.08895136	-92.65566275
A36_143_16	-149.2528235	342.320405
A37_150_21	-113.340989	-77.75151026
A36_144_11	-114.9087108	220.6978552
A37_150_6	-73.04264728	-75.61381199
A36_145_16	-146.2775923	64.08170344
A36_146_1	543.417608	-1.825322881
A36_143_2	23.45567672	397.3346518
A37_147_11	-119.0531239	-107.8222708
A39_156_2	-26.12327033	-117.7172816
A40_160_2	-55.24837313	-96.61266766
A38_154_1	467.3190259	-20.87614465
A39_157_11	-135.5605311	-53.95152759
A37_148_2	-22.10400465	-98.61070878
A39_155_1	410.4063556	-59.32459683
A38_151_2	-21.01025251	-28.89431766
A36_144_1	606.1061459	359.9505992
A36_143_11	-108.9369365	423.3416682
A37_148_21	-116.9092755	-74.60170763
A37_150_2	-32.58330311	-31.83985026
A38_154_6	-142.6448945	-54.01147937
A36_144_16	-106.4531469	219.4669244
A38_151_1	423.22025	-59.23377863
A37_147_16	-143.0964784	-77.11394162
A36_146_6	-123.9001336	-87.35532061
A38_152_1	504.7362575	348.8481264
A37_147_2	91.52836411	-46.58887524
A36_146_21	-160.4789392	-5.441717717
A38_151_16	-132.212685	-55.9443594
A37_149_6	-139.8947239	-68.79026736
A38_153_6	-101.1644845	256.3741819
A39_155_2	-47.01262343	-9.849892125
A38_153_21	-129.2758924	39.91691308
A38_151_6	-167.7549058	-29.07261574
A37_148_16	-183.6046374	-9.456254406
A37_150_11	-128.5792977	-21.18495035
A38_151_11	-153.9142615	3.284599465
A38_152_21	-161.5371184	332.1198717
A37_148_6	-146.6185315	-73.65877349
A38_152_16	-172.4422565	299.5643506
A41_164_2	-64.94885568	-56.85564438
A41_163_2	-9.859153672	-167.1323417
A38_153_16	-136.6139603	88.05258313
A38_152_2	-96.04623753	334.6710354
A39_157_2	-54.00758387	-69.19872506
A39_156_16	-174.2243112	-74.6940692
A38_152_11	-155.7062536	361.8251829
A41_164_1	372.5719355	-82.34030159
A39_157_6	-97.55130943	-82.80452068
A39_156_21	-150.7074499	-45.47378353
A40_160_6	-116.0783569	-66.7261694
A40_161_11	-104.8857941	-63.29989674
A39_156_6	-154.2083853	-55.9053687
A38_154_21	-140.843668	-12.6188537
A38_153_11	-111.0966309	201.9573161
A40_162_6	-129.4831129	-48.12413834
A39_155_21	-143.0030652	-3.005016922
A40_161_21	-134.0450551	-66.09027404
A40_159_2	-44.14897775	-82.52267928
A41_166_16	-167.3572318	-91.61510781
A37_147_21	-137.9388899	19.97732879
A38_151_21	-131.4393431	23.68340252
A40_159_6	-161.2210259	-86.12675829
A41_166_2	-31.28458158	-98.6292619
A37_149_2	-53.43327941	6.019680324
A41_165_11	-155.2276588	-109.0388983
A39_156_1	409.1161854	-89.02792458
A40_159_11	-161.2979791	-63.74308512
A39_157_16	-165.1065629	-31.34188687
A39_155_16	-123.8015285	-10.617471
A40_162_21	-189.0815175	-51.99624517
A41_164_6	-159.9301868	-47.19392512
A39_158_21	-120.3351594	19.43908998
A40_161_2	-77.61027324	-68.18211831
A41_163_21	-183.5946058	-52.21564728
A39_156_11	-195.0716155	-20.83240158
A42_167_2	-60.68627591	-124.2722449
A43_171_2	-16.48918318	-83.23930537
A37_147_6	-129.3076112	24.97739988
A41_165_1	530.1070233	-88.13996039
A41_166_11	-99.94032321	-104.8731166
A38_154_16	-124.9752986	47.97134756
A40_161_16	-160.9325306	-43.41747065
A41_165_16	-164.3993133	-114.7129076
A43_172_2	2.35058628	-134.390853
A39_155_11	-111.046654	17.19736079
A42_170_16	-121.9385092	-88.81065705
A39_158_2	-81.00948091	18.98581637
A42_168_2	46.5686318	-151.5046531
A37_147_1	570.0253394	-66.72744445
A43_171_11	-121.6015871	-0.230771091
A42_167_16	-121.6847109	-59.22863421
A37_149_21	-133.7694455	5.488580661
A40_159_1	522.2862079	-73.10787134
A38_153_2	21.63616064	356.9903354
A41_164_11	-116.3131212	-21.24987501
A40_162_11	-191.476559	-45.44499739
A42_170_11	-126.9257314	-70.85497456
A40_161_6	-103.3170121	-2.694354202
A43_172_11	-67.45915445	-56.13809574
A43_171_21	-92.47708789	-129.9344009
A38_152_6	-141.5314995	409.6291692
A41_163_16	-187.243014	-59.5654697
A42_167_11	-163.4209636	-64.49050397
A40_159_21	-169.502646	-15.8549632
A41_164_21	-116.0570398	-45.41311482
A39_158_1	521.3000846	-66.58664053
A42_170_21	-96.79232465	-96.82264399
A42_169_11	-121.1877353	-56.12486115
A40_162_2	-86.69440748	-37.49153824
A40_160_21	-130.3997525	26.30454605
A40_160_1	511.575533	-62.55527948
A42_168_16	-145.3876895	-31.69787573
A42_170_2	7.075265886	-105.7876841
A43_173_1	487.9131613	-18.68401679
A39_158_16	-130.0824319	18.07696602
A41_163_11	-174.5207627	-18.23557199
A41_164_16	-122.7738603	-21.16393547
A43_174_6	-63.75149134	-55.03516879
A38_153_1	546.9721584	343.7892503
