	IHC	IHC	IH	IH	IC	IC	noAir	noAir
	_calour_stat	_calour_pval	_calour_stat	_calour_pval	_calour_stat	_calour_pval	_calour_stat	_calour_pval
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__	-132.74641148325358	0.0009990009990009652	28.53098195800061	0.00899100899100902	10.848971167414334	0.3176823176823177	25.063626136953644	0.024975024975025014
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae	-115.31647300068352	0.0009990009990009652	41.98646850044364	0.0029970029970030065	-40.23820054337523	0.003996003996003972	111.82972616964408	0.0009990009990009652
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	-88.21727614490774	0.0009990009990009652	-82.43714877255248	0.0009990009990009652	-6.236178681999121	0.6573426573426573	-111.19716650962442	0.0009990009990009652
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	-64.24675324675323	0.0009990009990009652	85.30560485063589	0.0009990009990009652	65.08887765632568	0.0009990009990009652	37.16288002615232	0.014985014985015031
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	-50.72983595352017	0.0009990009990009652	-124.67132505175984	0.0009990009990009652	-25.251574313936118	0.07092907092907097	-151.17865796204066	0.0009990009990009652
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	-17.591165413533844	0.1618381618381618	-107.16829340431823	0.0009990009990009652	-4.548450959331092	0.7542457542457542	-140.35382574082263	0.0009990009990009652
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	48.551093643198904	0.0009990009990009652	-75.23380656610469	0.0009990009990009652	-35.3531939091426	0.01098901098901095	-54.840441897582885	0.0009990009990009652
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	64.07681134654817	0.0009990009990009652	-32.08806566104701	0.012987012987012991	-13.61565678903142	0.32867132867132864	-32.20472857335153	0.02097902097902093
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	71.70676691729321	0.0009990009990009652	23.700680272108823	0.06793206793206796	-49.45883616604536	0.0019980019980020414	74.85599388496814	0.0009990009990009652
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	92.21744702665757	0.0009990009990009652	-113.99511978704528	0.0009990009990009652	70.60740085507888	0.0009990009990009652	-199.2252850797069	0.0009990009990009652
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	112.6714798359535	0.0009990009990009652	-38.434338952972496	0.003996003996003972	-48.69168720119629	0.0019980019980020414	23.234164375132192	0.1208791208791209
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	159.79331852358166	0.0009990009990009652	112.32061520260277	0.0009990009990009652	30.156378340810022	0.025974025974025983	138.2545958886987	0.0009990009990009652
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	211.48615857826385	0.0009990009990009652	174.4209553386572	0.0009990009990009652	23.36092331669508	0.0699300699300699	209.36794511855084	0.0009990009990009652
