sample-id	Axis1_31_2	Axis2_18_3	Axis3_10_9
11829.A45.181.8	-0.193405423	0.171923191	-0.014028082
11829.A37.147.17	-0.254268812	0.128334897	0.185928967
11829.A44.175.10	0.059737385	0.070537004	0.030176419
11829.A36.146.11	-0.112533444	-0.106596819	-0.018981658
11829.A38.152.6	0.225875042	0.048719883	0.07446916
11829.A45.179.13	-0.161950572	0.054488867	-0.26719686
11829.A44.178.7	0.106533915	0.239838954	-0.216519023
11829.A38.151.10	-0.172331149	-0.072974155	0.021589719
11829.A37.149.18	-0.204859489	0.09385431	0.14099801
11829.A44.178.15	0.073576701	0.289878932	-0.187101662
11829.A37.150.11	-0.117796184	-0.005943539	0.01829684
11829.A36.146.2	-0.210010064	-0.110380624	0.049378019
11829.A38.151.8	0.059960309	-0.066190541	-0.030548917
11829.A38.153.1	-0.239520442	-0.171224596	0.0282978
11829.A45.182.6	-0.2648711	0.354054162	-0.217092876
11829.A45.180.8	0.068522405	0.093976981	0.02125069
11829.A39.158.9	-0.059148212	0.101739119	0.07670366
11829.A45.182.1	-0.251559114	-0.041496931	0.097462718
11829.A38.153.6	0.063042338	-0.037632923	-0.003178638
11829.A36.146.5	0.052268557	-0.123546344	-0.050704113
11829.A37.150.16	-0.26510587	0.092764402	0.170619729
11829.A37.148.19	-0.127881078	-0.033152423	0.023370803
11829.A44.178.12	-0.068866383	0.069571969	-0.455012514
11829.A45.179.9	-0.282073669	0.186025975	0.052062835
11829.A38.151.17	-0.193170607	0.042438891	0.106601305
11829.A45.179.14	0.107550197	-0.065759846	-0.183064291
11829.A38.152.1	-0.134083814	-0.436732575	0.029066034
11829.A36.146.16	-0.11647589	0.033850626	0.060407514
11829.A37.147.10	-0.034598144	-0.20703001	-0.036035076
11829.A44.176.13	0.106849999	-0.04556476	-0.064120567
11829.A45.181.1	-0.235768253	-0.193667685	0.040076898
11829.A44.177.15	0.245991674	0.085757412	0.017248946
11829.A36.144.14	0.02595	-0.085900609	-0.02747099
11829.A36.145.12	0.219125629	0.065261147	0.07035085
11829.A36.146.18	-0.162161807	0.040471394	0.072191137
11829.A36.145.5	0.24885539	0.137652309	0.109462196
11829.A38.151.19	-0.170960447	0.015849756	0.076052676
11829.A39.155.21	0.044759211	0.018480713	0.018306076
11829.A38.152.13	0.041088388	-0.192644276	-0.079285543
11829.A38.153.15	-0.167551552	0.05787767	0.073219431
11829.A45.179.7	0.016516423	0.008353842	-0.078749671
11829.A37.149.11	0.243607088	-0.257373733	-0.06404518
11829.A37.148.17	-0.124293439	-0.019502163	0.027163546
11829.A37.147.2	0.069899939	-0.131657546	-0.033403215
11829.A37.150.18	-0.17137131	-0.197252738	0.011519242
11829.A45.181.20	0.045811827	0.104639453	-0.151534284
11829.A36.144.2	0.110885036	-0.274217532	-0.064640853
11829.A38.151.1	-0.10393645	-0.490228558	0.039469634
11829.A38.153.8	-0.169984498	0.115524882	0.121725688
11829.A39.158.7	0.145298573	0.115620023	0.102956711
11829.A45.180.6	0.04623934	0.067095038	-0.006211835
11829.A45.180.1	-0.180624676	-0.300642423	0.002958495
11829.A45.182.8	-0.121619375	0.080172233	-0.071745972
11829.A38.151.6	0.29155787	0.038967025	0.060414427
11829.A36.144.5	0.081270227	0.084185246	0.048398984
11829.A45.180.21	0.273668352	-0.058948013	-0.038757073
11829.A37.147.5	-0.016191368	-0.03005445	0.000765414
11829.A37.148.10	0.074141879	-0.169551618	-0.03150747
11829.A38.154.20	-0.160674258	0.041386603	0.089631387
11829.A37.149.16	-0.114149695	-0.161399154	-0.002685677
11829.A38.153.12	-0.219012271	-0.096864789	0.035156616
11829.A38.152.14	0.030979079	-0.06320649	-0.036940288
11829.A44.178.9	-0.006197199	0.287592777	-0.237510164
11829.A36.145.2	0.290848072	0.014622097	0.066045979
11829.A38.152.8	0.330354957	0.005478229	0.052114744
11829.A36.145.15	0.145598299	0.005618464	-0.000999047
11829.A36.144.13	0.028306744	-0.043330493	-0.018943652
11829.A37.147.19	0.057234668	-0.060216423	-0.012463451
11829.A36.143.21	-0.046687028	-0.06362894	0.001182874
11829.A44.177.12	0.39061388	0.142679769	0.104519379
11829.A45.181.6	-0.42212772	0.424860258	-0.205875918
11829.A44.176.14	0.035231865	0.015210367	-0.07835059
11829.A39.155.6	0.215454445	0.105009441	0.108395217
11829.A44.176.1	-0.236415677	-0.190604252	0.046227086
